VisitID,Age,VisitDurationMin,TimeOfDay,DrinkType,FoodPurchase,LoyaltyMember,TotalSpent
975,29,17.9,Morning,Specialty,Pastry,No,14.26
976,18,15.3,Morning,Tea,Pastry,Yes,9.81
977,29,25.9,Morning,Specialty,Pastry,Yes,12.3
978,18,24.6,Morning,Coffee,None,No,5.24
979,18,12.6,Evening,Smoothie,Pastry,Yes,13.72
980,43,20.8,Afternoon,Specialty,None,No,7.63
981,43,11.2,Evening,Tea,Pastry,Yes,9.48
982,39,8.3,Morning,Coffee,None,No,6.54
983,22,13.6,Morning,Coffee,Pastry,No,8.66
984,33,24.0,Afternoon,Coffee,None,No,5.73
985,34,24.7,Morning,Coffee,Pastry,No,9.56
986,20,21.6,Morning,Coffee,Sandwich,Yes,14.75
987,52,23.1,Morning,Tea,None,Yes,7.37
988,45,21.6,Morning,Tea,None,Yes,6.27
989,31,13.5,Morning,Coffee,None,No,5.74
990,34,21.0,Morning,Tea,Sandwich,No,11.65
991,37,23.6,Afternoon,Coffee,Pastry,Yes,8.07
992,18,23.3,Morning,Coffee,Pastry,No,10.17
993,31,26.3,Morning,Coffee,None,Yes,9.69
994,26,23.0,Evening,Tea,Pastry,No,8.13
995,22,20.5,Morning,Coffee,Sandwich,No,11.96
996,31,25.5,Morning,Coffee,Sandwich,Yes,12.69
997,56,17.8,Evening,Coffee,Pastry,Yes,11.12
998,42,11.8,Morning,Specialty,None,Yes,9.77
999,27,16.9,Morning,Coffee,None,No,5.67
1000,41,12.8,Afternoon,Tea,None,Yes,4.37
